,Australia,Austria,Bahrain,Belgium,Brazil,China,France,Germany,Hungary,Italy,Malaysia,Mexico,Monaco,Netherlands,Portugal,Russia,Singapore,Spain,UK,USA
4,395.80917789338855,480.82618433012976,610.2720734670293,516.0332250674255,471.0342238631856,74.3648889712349,117.16345057907164,400.8201834978827,600.2600708392274,207.7715729641204,37.75756632286357,638.8877932083851,324.99501454329584,298.7997809620865,345.2190619388712,668.0736329467909,524.8449871815101,670.2740758716827,764.4929146386276,60.15204804140376
5,813.6927524377825,470.22406207592576,334.8169782280456,81.74636706485762,504.4409011746175,479.0458254624973,345.00902264288743,336.2072601762775,327.80557966278866,626.0552329460625,267.6035315642366,686.8973953288805,580.2460690542939,521.2442697802908,140.97821228799876,603.8607916975161,497.23946779881953,458.4317071156984,527.645547311462,635.2670718105801
6,238.37769167099032,455.6211427214148,301.81038067958434,182.1664522220381,188.97781104344176,202.5905324115884,507.6415442612779,153.97081309530768,243.98881663032807,646.8593912102224,531.2562595925701,470.8541860883124,544.4389044306881,293.3986982270726,239.59793695926783,677.8755962294235,359.21186156439944,378.0156210389978,603.4607103851449,566.0532286519301
7,688.4677107599855,482.0264256665832,1.150248186517274,433.6167430042988,455.23106243507937,207.79157396353548,366.01322013358,335.60714026066125,244.5889349000936,329.19586014497327,161.98240876567434,585.6771514842403,345.3990980210074,531.2462665296916,528.0556271465321,667.8735902455228,573.2546707728761,605.4611144507653,479.6359433096659,285.9972168231616
8,407.811579084635,522.034423503268,436.037224403728,470.8241852958454,271.39429693616694,446.2392611373798,313.6027375250705,295.39909695781535,9.541924676537748,175.36509055196075,331.0162156728038,296.6193403951765,415.413100660051,495.6391460641753,576.265266618575,645.469111481274,154.17085214724648,318.0036194522981,768.2936765548948,609.8619886911765
9,669.663949721551,184.3668911913992,561.0622286579746,490.6281440622697,251.7903767148382,90.56813080556458,312.802578501869,393.4187018694647,219.38389592565363,464.0228236858966,484.2468590949429,312.02242020814447,513.2326661064872,165.57313370678455,319.21386214887025,631.6663512149826,303.2006569742807,600.0600323038234,171.57433012497495,753.690752950788
0,782.68655426029,590.0480310904386,367.02341432645335,545.8391888278129,278.5957347077492,477.8455843527918,303.60073881517746,536.6473447739845,784.896996778989,517.4335055825359,405.83117711465457,699.0998392233741,371.804379379988,191.57833282102365,14.953004241979215,779.495921101654,377.215462260152,355.01102046642336,724.0848350785382,386.6173396681552
1,438.8177788746834,497.42950640493655,372.6245351768739,101.55032703254255,517.643541045225,562.8625842884067,410.6221426243428,649.6699528996833,778.8957977091195,758.2816727362515,411.4322992483503,685.2970744582417,534.4369068793894,-5.461074218415888,-140.07799858078943,352.01041892988724,397.4195040511258,69.55392876043334,653.870792929054,-194.6989226182341
2,437.4174986044527,455.0210238854052,302.81057649376453,198.16965246820476,34.14684780040989,169.98401367189945,664.6729534350161,448.2296660313732,728.0856376501324,510.6321464732173,601.0702203402761,440.24806887604063,588.2476688364986,492.4385020014888,164.38289473601617,313.4026979438786,626.4653131373052,621.2642715483671,570.654148808826,-194.69892262469511
3,415.8131822506548,169.16385119929328,331.41630034544505,364.6029383453133,456.2312612677342,197.3894934328564,596.8593888895994,135.76717094727792,699.4799154654029,634.2568716096284,325.61513580105384,362.23246664652834,522.2344660423405,264.79297578928526,370.0240171730402,298.5997375947481,371.21426003196393,675.6751531859045,658.6717555323849,621.6643535097246
