,Australia,Austria,Bahrain,Belgium,Brazil,China,France,Germany,Hungary,Italy,Malaysia,Mexico,Monaco,Netherlands,Portugal,Russia,Singapore,Spain,UK,USA
3,586.0472297752858,507.0314272629621,269.60393420481705,454.6209447954898,456.0312155492429,475.6451420004014,657.8715927155863,590.2580663834815,655.271071658266,528.2356695766211,457.8415834305051,771.6999985168222,400.4101010441664,505.0410224842199,386.82737893235753,460.83218566922005,487.4375033415563,564.0528260489227,667.8735944881919,500.6401489650016
4,573.8447887204529,514.6329480960849,524.8549800711044,433.4167033843405,434.62693433483946,475.2450592460518,564.4529086433176,538.847781317425,729.0858386062027,523.6347470931651,309.0118146016612,778.2000013790966,406.8113821017032,388.2176564747933,366.6233339612372,591.6583524380694,275.595135988784,539.0478230799199,604.0608319202438,-158.69884224783164
5,592.6485533604864,-72.88455900450936,584.8669833049062,449.6199429638509,461.23225528595503,452.8405842256907,741.0882385606528,388.4176965191728,597.4595123670588,465.2230640753987,455.2410631964449,458.0516284137848,389.0078226886399,422.0244197966822,373.0246154255874,666.8733954566123,375.8151807121758,632.466507201636,686.8773962331179,294.198857891548
6,576.645350928593,476.62534446414793,304.01081161174807,362.2024601268058,432.6265353716735,499.649941147567,524.0448279355769,331.20625877031125,705.6811570279242,562.442508720851,266.6033365679032,673.6947584998852,398.0096217637183,476.2352586996567,385.0270128098491,260.5921369351272,389.4178999187716,371.6143383776071,693.6787567061547,172.9746140440111
7,287.9876178108097,560.4421111760021,307.6115324275743,457.6215439744119,490.438092505181,525.4551002070075,130.36609151933226,564.0528257752303,557.2514682250621,539.4379068205599,493.2486627876642,496.4593097947363,407.4115014222625,486.63733684667386,290.40809516061563,636.0672310734517,199.57993161777267,557.0514257972245,539.2478677366744,-194.0988027540443
8,514.2328651418211,485.4271066037181,443.0386163353687,476.02522443109774,267.3934918584709,188.9878114662424,692.4785154171113,488.4377026532893,752.090440510452,491.4283042013412,462.6425449654344,782.800001491094,363.402700387669,436.6273406736145,545.0590196629055,638.0676336742763,193.9788122427708,547.849578170717,698.4797165147902,485.4371071407804
9,572.0444318180089,572.8445916843775,296.0092110216501,419.01382104030927,235.1870495843177,41.1582466159598,679.4759102652315,512.8425828084,719.4839175956731,426.01521807783865,234.59693196389708,770.199997750402,553.6407465365774,421.8243768912798,374.0248140094045,343.4087012526288,574.2548643730406,550.6501439466956,615.4631095749501,506.2412693890219
0,695.4691123023513,528.2356685951236,181.38629411530565,418.61374116438674,60.752168477571104,337.41749685205286,756.491319181514,554.0508264213568,648.8697959400306,611.852389948559,412.6325411244761,578.4757113950618,507.2314656339295,532.646547177399,300.0100177277928,501.0402260280971,348.2096589872963,421.6243412767653,325.60513747879304,304.80097901492263
1,549.4399062720186,474.8249853886373,507.0514240095508,480.0260274437314,144.96901226215414,303.6107369017845,535.4471099607472,278.1956561617262,701.6803559201362,570.0440263385535,461.6423410010466,631.0862356719736,481.8263837521081,551.2502677149896,369.0238195428974,383.0166212787153,380.0160213609343,267.79357761639403,479.2358674319985,-160.99876211385708
2,393.4086983963498,502.6305442000157,465.2430606272828,500.6301434313064,478.43570154727786,501.65034379059216,622.6645509789232,503.6407458796748,680.4761138411413,428.4157021668798,393.828780891432,691.2982779532322,541.6383455263858,252.1904553140048,508.8517837476393,500.2400668238406,379.0158214159019,157.1714526444557,687.4775152874354,548.6497471791517
